Column1,Will #1,Last Max,Will (bigger net),Last Max,Will (Adam),Last Max,Brian (new),Brian (new) Max
168,0.8371,0.8397,0.8041,0.8048,,,0.847,0.8497
169,0.8376,0.8397,0.8006,0.8048,,,0.8419,0.8497
170,0.8322,0.8397,0.8037,0.8048,,,0.8452,0.8497
171,0.8372,0.8397,0.7993,0.8048,,,0.8464,0.8497
172,0.8118,0.8397,0.8053,0.8053,,,0.844,0.8497
173,0.8288,0.8397,0.8,0.8053,,,0.8422,0.8497
174,0.8312,0.8397,0.8019,0.8053,,,0.8266,0.8497
175,0.837,0.8397,0.8019,0.8053,,,0.8452,0.8497
176,0.8324,0.8397,0.8035,0.8053,,,0.8469,0.8497
177,0.8354,0.8397,0.7998,0.8053,,,0.846,0.8497
178,0.8378,0.8397,0.7992,0.8053,,,0.8455,0.8497
179,0.8343,0.8397,0.8032,0.8053,,,0.8383,0.8497
180,0.832,0.8397,0.7976,0.8053,,,0.7842,0.8497
181,0.8357,0.8397,0.8039,0.8053,,,0.8429,0.8497
182,0.8339,0.8397,0.8014,0.8053,,,0.8432,0.8497
183,0.8337,0.8397,0.8004,0.8053,,,0.8422,0.8497
184,0.8417,0.8417,0.8047,0.8053,,,0.848,0.8497
185,0.8377,0.8417,0.8037,0.8053,,,0.842,0.8497
186,0.8319,0.8417,0.8074,0.8074,,,0.8456,0.8497
187,0.8418,0.8418,0.8033,0.8074,,,0.8412,0.8497
188,0.8325,0.8418,0.805,0.8074,,,0.8435,0.8497
189,0.8334,0.8418,0.8018,0.8074,,,0.8429,0.8497
190,0.8351,0.8418,0.8045,0.8074,,,0.8447,0.8497
191,0.8326,0.8418,0.8032,0.8074,,,0.832,0.8497
192,0.8357,0.8418,0.8026,0.8074,,,0.8466,0.8497
193,0.831,0.8418,0.8007,0.8074,,,0.8452,0.8497
194,0.8369,0.8418,0.8047,0.8074,,,0.8449,0.8497
195,0.8329,0.8418,0.8012,0.8074,,,0.8478,0.8497
196,0.8323,0.8418,0.804,0.8074,,,0.8444,0.8497
197,0.834,0.8418,0.8036,0.8074,,,0.8465,0.8497
198,0.8309,0.8418,0.8051,0.8074,,,0.8467,0.8497
199,0.8339,0.8418,0.8028,0.8074,,,0.8449,0.8497
200,0.8354,0.8418,0.8059,0.8074,,,0.8415,0.8497
201,0.8363,0.8418,0.8039,0.8074,,,0.8485,0.8497
202,0.8316,0.8418,0.8015,0.8074,,,0.846,0.8497
203,0.8397,0.8418,0.8033,0.8074,,,0.8464,0.8497
204,0.8355,0.8418,0.8029,0.8074,,,0.8471,0.8497
205,0.8376,0.8418,0.8061,0.8074,,,0.8426,0.8497
206,0.8343,0.8418,0.8019,0.8074,,,0.8459,0.8497
207,0.8365,0.8418,0.8059,0.8074,,,0.8471,0.8497
208,0.8362,0.8418,0.8025,0.8074,,,0.8468,0.8497
209,0.8341,0.8418,0.8038,0.8074,,,0.8471,0.8497
210,0.8329,0.8418,0.805,0.8074,,,0.8464,0.8497
211,0.8356,0.8418,0.8011,0.8074,,,0.8481,0.8497
212,0.8387,0.8418,0.8053,0.8074,,,0.8477,0.8497
213,0.8354,0.8418,0.8023,0.8074,,,0.8475,0.8497
214,0.8343,0.8418,0.803,0.8074,,,0.8492,0.8497
215,0.8378,0.8418,0.8044,0.8074,,,0.8453,0.8497
216,0.8393,0.8418,0.804,0.8074,,,0.8491,0.8497
217,0.8347,0.8418,0.803,0.8074,,,0.8462,0.8497
218,0.834,0.8418,0.8051,0.8074,,,0.8432,0.8497
219,0.8354,0.8418,0.7995,0.8074,,,0.848,0.8497
220,0.8345,0.8418,0.8059,0.8074,,,0.8279,0.8497
221,0.8382,0.8418,0.8038,0.8074,,,0.8458,0.8497
222,0.8395,0.8418,0.8029,0.8074,,,0.846,0.8497
223,0.833,0.8418,0.8005,0.8074,,,0.8437,0.8497
224,0.8352,0.8418,0.8041,0.8074,,,0.8468,0.8497
225,0.8401,0.8418,0.8056,0.8074,,,0.8494,0.8497
226,0.8381,0.8418,0.8025,0.8074,,,0.8517,0.8517
227,0.8316,0.8418,0.8036,0.8074,,,0.8455,0.8517
228,0.8356,0.8418,0.8062,0.8074,,,0.8515,0.8517
229,0.8331,0.8418,0.8071,0.8074,,,0.8488,0.8517
230,0.8362,0.8418,0.8031,0.8074,,,0.8463,0.8517
231,0.8319,0.8418,0.8054,0.8074,,,0.85,0.8517
232,0.8357,0.8418,0.8078,0.8078,,,0.8477,0.8517
233,0.8358,0.8418,0.804,0.8078,,,0.8492,0.8517
234,0.8376,0.8418,0.8054,0.8078,,,0.846,0.8517
235,0.8393,0.8418,0.8031,0.8078,,,0.848,0.8517
236,0.8391,0.8418,0.8003,0.8078,,,0.8451,0.8517
237,0.8372,0.8418,0.8033,0.8078,,,0.8491,0.8517
238,,,0.801,0.8078,,,0.8453,0.8517
239,,,0.8041,0.8078,,,0.8486,0.8517
240,,,0.8053,0.8078,,,0.8473,0.8517
241,,,0.8059,0.8078,,,0.8477,0.8517
242,,,0.801,0.8078,,,0.8402,0.8517
243,,,0.8067,0.8078,,,0.8494,0.8517
244,,,0.8072,0.8078,,,0.8463,0.8517
245,,,0.8068,0.8078,,,0.8434,0.8517
246,,,0.8015,0.8078,,,0.8487,0.8517
247,,,0.8049,0.8078,,,0.8488,0.8517
248,,,0.8039,0.8078,,,0.8149,0.8517
249,,,0.8078,0.8078,,,0.8467,0.8517
250,,,0.8029,0.8078,,,0.8458,0.8517
251,,,0.8042,0.8078,,,0.8476,0.8517
252,,,0.8009,0.8078,,,0.8462,0.8517
253,,,0.8046,0.8078,,,0.8468,0.8517
254,,,0.8059,0.8078,,,0.8428,0.8517
255,,,0.8057,0.8078,,,0.8505,0.8517
256,,,0.803,0.8078,,,0.8471,0.8517
257,,,0.8054,0.8078,,,0.846,0.8517
258,,,0.801,0.8078,,,0.8506,0.8517
259,,,0.8063,0.8078,,,0.8512,0.8517
260,,,0.8069,0.8078,,,0.8485,0.8517
261,,,0.8047,0.8078,,,0.8461,0.8517
262,,,0.8018,0.8078,,,0.8497,0.8517
263,,,0.8035,0.8078,,,0.8527,0.8527
264,,,0.8025,0.8078,,,0.8511,0.8527
265,,,0.8044,0.8078,,,0.8502,0.8527
266,,,0.8056,0.8078,,,0.8493,0.8527
267,,,0.8037,0.8078,,,0.8471,0.8527
